,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
343,hamilton,39.1834,-84.5333,36.98,80,90,8.23,US,1612490447
344,kuvandyk,51.4781,57.3552,34.57,96,100,2.3,RU,1612490614
345,eyl,7.9803,49.8164,68.09,80,5,5.69,SO,1612490170
346,moose factory,51.2585,-80.6094,33.78,59,90,5.14,CA,1612490332
347,bahia honda,22.9036,-83.1592,63.17,65,0,1.66,CU,1612490614
348,kizilskoye,52.7255,58.8937,35.17,96,100,3.4,RU,1612490614
349,jupiter,26.9342,-80.0942,62.98,87,90,3.67,US,1612490614
350,enid,36.3956,-97.8784,39.18,52,1,1.54,US,1612490452
351,jackson,42.4165,-122.8345,40.98,81,0,1.12,US,1612490214
352,okhtyrka,50.3104,34.8988,27.07,96,100,9.61,UA,1612490615
353,kortkeros,61.8106,51.5806,19.38,86,90,4.0,RU,1612490615
354,paamiut,61.994,-49.6678,17.99,74,0,2.33,GL,1612490170
355,falam,22.9167,93.6833,58.73,50,0,0.38,MM,1612490615
356,saint george,37.1041,-113.5841,49.98,27,1,3.6,US,1612490167
357,manokwari,-0.8667,134.0833,83.06,72,100,3.12,ID,1612490222
358,dunkwa,5.9656,-1.78,75.56,90,3,0.32,GH,1612490616
359,terrell,32.736,-96.2753,51.98,54,1,2.57,US,1612490527
360,wewak,-3.5534,143.6268,85.71,66,12,2.57,PG,1612490616
361,muisne,0.6,-80.0333,76.58,90,100,2.74,EC,1612490616
362,souillac,-20.5167,57.5167,76.98,78,20,2.57,MU,1612490161
363,saint-francois,46.4154,3.9054,44.98,100,90,0.98,FR,1612490616
364,katherine,-14.4667,132.2667,82.38,74,75,2.57,AU,1612490385
