,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
365,san quintin,30.4833,-115.95,57.92,73,82,6.71,MX,1612490617
366,kaoma,-14.7833,24.8,63.53,94,45,1.48,ZM,1612490617
367,buala,-8.145,159.5921,85.94,68,2,3.77,SB,1612490182
368,the hammocks,25.6715,-80.4445,64.38,68,1,2.06,US,1612490617
369,xinyu,27.8043,114.9334,56.08,83,98,1.58,CN,1612490617
370,coquimbo,-29.9533,-71.3436,60.78,88,90,3.6,CL,1612490215
371,pirae,-17.5167,-149.5333,82.38,65,20,1.03,PF,1612490618
372,jinchang,38.4953,102.1739,35.42,53,0,2.72,CN,1612490618
373,watsa,3.0372,29.5355,70.52,59,59,0.82,CD,1612490618
374,aklavik,68.2191,-135.0107,-40.02,67,75,1.54,CA,1612490180
375,port augusta,-32.5,137.7667,73.38,40,90,9.77,AU,1612490619
376,carballo,43.213,-8.691,46.97,96,97,0.45,ES,1612490619
377,maragogi,-9.0122,-35.2225,78.01,82,22,4.15,BR,1612490619
378,lynn haven,30.2455,-85.6483,60.98,72,90,6.17,US,1612490619
379,namibe,-15.1961,12.1522,70.63,72,0,2.96,AO,1612490161
380,vila franca do campo,37.7167,-25.4333,53.98,71,40,4.63,PT,1612489949
381,genhe,50.7833,121.5167,-1.84,88,92,1.13,CN,1612490620
382,urengoy,65.9667,78.3667,-24.22,86,54,2.94,RU,1612490620
383,sabang,5.8933,95.3214,81.41,76,12,10.47,ID,1612490167
384,hovd,48.0056,91.6419,17.11,81,97,2.37,MN,1612490620
385,mangrol,21.1167,70.1167,64.18,55,0,5.71,IN,1612490620
386,luanda,-8.8368,13.2343,78.78,78,75,2.06,AO,1612490149
387,la rioja,42.25,-2.5,42.78,93,100,0.65,ES,1612490226
388,hirara,24.8,125.2833,71.58,53,20,5.14,JP,1612490621
389,ninh binh,20.2539,105.975,71.08,68,16,2.29,VN,1612490621
390,ahipara,-35.1667,173.1667,69.37,67,100,2.53,NZ,1612490216
391,chuy,-33.6971,-53.4616,66.14,81,100,6.24,UY,1612490187
392,khonsa,27.0167,95.5667,61.07,58,0,0.34,IN,1612490621
393,vila velha,-20.3297,-40.2925,78.98,78,20,4.63,BR,1612490180
394,mapastepec,15.4333,-92.9,73.43,73,0,0.51,MX,1612490622
395,tessalit,20.1986,1.0114,67.22,22,69,7.29,ML,1612490184
396,sarangani,5.4033,125.4636,81.75,79,100,8.86,PH,1612490212
397,chalus,36.655,51.4204,46.38,100,90,3.39,IR,1612490622
398,leshukonskoye,64.8989,45.7622,2.48,93,100,4.8,RU,1612490622
399,katangli,51.7102,143.2326,-6.25,87,100,7.52,RU,1612490622
400,bolu,40.6667,31.5833,42.76,86,88,2.39,TR,1612490622
401,nanortalik,60.1432,-45.2371,21.4,78,100,3.69,GL,1612490014
402,beisfjord,68.3751,17.5988,22.98,93,75,0.51,NO,1612490623
403,bonga,7.2833,36.2333,59.66,61,52,0.55,ET,1612490623
404,kita,13.0349,-9.4895,71.26,19,12,1.07,ML,1612490623
405,emerald,-23.5333,148.1667,87.98,51,90,3.6,AU,1612490164
406,santa isabel do rio negro,-0.4139,-65.0192,76.93,87,100,0.88,BR,1612490623
407,esperance,-33.8667,121.9,62.58,51,90,5.66,AU,1612490161
408,mana,5.6592,-53.7767,77.0,81,31,5.76,GF,1612490192
409,ouadda,8.0777,22.4007,73.16,21,0,3.35,CF,1612490624
410,evensk,61.95,159.2333,1.29,90,100,8.49,RU,1612490624
411,kamenka,51.3223,42.7678,37.97,97,100,6.3,RU,1612490624
412,olafsvik,64.8945,-23.7142,38.01,83,100,16.0,IS,1612490624
413,laives,46.4228,11.3348,38.98,83,100,0.44,IT,1612490624
414,cockburn town,21.4612,-71.1419,73.38,64,40,3.09,TC,1612490624
415,tucurui,-3.7661,-49.6725,75.85,86,29,2.19,BR,1612490178
416,tazovskiy,67.4667,78.7,-24.45,87,100,3.4,RU,1612490175
417,lokoja,7.8024,6.743,76.1,21,0,0.93,NG,1612490625
418,mirnyy,62.5353,113.9611,-31.02,84,100,1.69,RU,1612490625
419,camara de lobos,32.6333,-16.9667,55.38,62,40,3.6,PT,1612490625
420,karratha,-20.7377,116.8463,84.68,70,40,6.17,AU,1612490195
421,saint-augustin,51.226,-58.6502,34.54,96,100,5.78,CA,1612490167
422,pangai,-19.8,-174.35,80.58,89,75,5.14,TO,1612490625
423,santa cruz de la palma,28.6835,-17.7642,60.78,44,20,2.06,ES,1612490626
424,arawa,-6.2132,155.5367,88.52,60,9,2.38,PG,1612490626
425,penzance,50.1186,-5.5371,46.38,93,40,5.14,GB,1612490626
426,batagay,67.6333,134.6333,-36.01,80,100,0.82,RU,1612490626
427,coihaique,-45.5752,-72.0662,69.78,46,0,2.57,CL,1612490214
428,oistins,13.0667,-59.5333,78.78,65,20,8.23,BB,1612490626
429,bonnyville,54.2668,-110.735,4.98,72,90,5.14,CA,1612490626
430,lindenhurst,40.6868,-73.3735,35.98,69,1,3.09,US,1612490625
431,kalengwa,-13.4659,25.0027,61.93,97,32,1.22,ZM,1612490627
432,tingo maria,-9.2895,-76.0088,69.26,81,100,0.48,PE,1612490627
433,piacabucu,-10.4056,-36.4344,78.38,81,43,5.21,BR,1612490627
434,robe,-37.1833,139.75,62.08,62,41,8.88,AU,1612490627
435,beoumi,7.6736,-5.5764,78.78,78,11,5.14,CI,1612490628
436,coos bay,43.3665,-124.2179,46.38,87,1,5.66,US,1612490628
437,khasan,42.4308,130.6434,18.64,94,83,2.21,RU,1612490628
438,neiafu,-18.65,-173.9833,82.38,89,75,4.63,TO,1612490628
439,tala,30.6803,30.9429,54.62,95,0,4.51,EG,1612490628
440,haines junction,60.7522,-137.5108,-18.42,76,30,0.26,CA,1612490198
441,madang,-5.2246,145.7966,86.81,65,41,2.33,PG,1612490628
442,nurota,40.5614,65.6886,39.18,75,100,5.14,UZ,1612490628
443,north branch,45.5113,-92.9802,12.18,72,75,5.14,US,1612490628
444,okrika,4.7416,7.0849,78.78,94,20,1.38,NG,1612490629
445,rodnykove,45.043,33.9541,45.98,72,51,1.34,UA,1612490629
446,kourou,5.1552,-52.6478,76.98,94,75,2.57,GF,1612490629
447,padang,-0.9492,100.3543,82.38,78,20,1.03,ID,1612490596
448,metapan,14.3333,-89.45,66.67,61,0,1.59,SV,1612490629
449,stromness,58.965,-3.296,37.38,70,40,10.29,GB,1612490629
450,meulaboh,4.1363,96.1285,79.63,75,33,1.83,ID,1612490189
451,carauari,-4.8828,-66.8958,75.4,95,100,0.75,BR,1612490224
452,panguna,-6.3164,155.4848,83.19,66,28,1.34,PG,1612490337
453,porto walter,-8.2686,-72.7439,74.48,92,99,1.26,BR,1612490630
454,muroto,33.2833,134.15,48.18,43,40,3.6,JP,1612490630
455,huilong,31.8111,121.655,48.97,76,100,1.34,CN,1612490522
456,aykhal,66.0,111.5,-36.01,80,12,2.11,RU,1612490218
457,livingston,55.9029,-3.5226,42.78,93,90,4.63,GB,1612490545
458,bilma,18.6853,12.9164,59.81,32,0,3.27,NE,1612490630
459,chicama,-7.8447,-79.1469,73.43,65,97,1.79,PE,1612490424
460,broken hill,-31.95,141.4333,69.78,35,40,3.6,AU,1612490168
461,ahuimanu,21.4447,-157.8378,73.38,53,90,5.14,US,1612490631
462,killybegs,54.6333,-8.45,39.97,94,99,2.24,IE,1612490631
463,impfondo,1.6381,18.0667,71.94,83,91,1.05,CG,1612490631
464,prince rupert,54.3161,-130.3201,39.18,100,90,1.54,CA,1612490198
465,matay,28.419,30.7792,55.29,88,0,4.9,EG,1612490632
466,dong hoi,17.4833,106.6,71.49,82,40,4.12,VN,1612490450
467,baisha,26.5222,110.9311,57.97,79,82,1.17,CN,1612490632
468,khandbari,27.3747,87.2039,56.08,38,0,0.83,NP,1612490632
469,aloleng,16.1307,119.7824,81.71,58,49,2.78,PH,1612490632
470,nangomba,-10.9,38.5,70.5,97,42,1.3,TZ,1612490632
471,peterhead,57.5058,-1.7981,39.18,93,90,8.75,GB,1612490633
472,lingsugur,16.1667,76.5167,62.31,74,44,3.87,IN,1612490633
473,kamareddi,18.3167,78.35,60.2,59,40,2.38,IN,1612490633
474,vaxjo,56.8777,14.8091,9.98,92,0,1.54,SE,1612490399
475,portland,45.5234,-122.6762,44.98,87,90,3.6,US,1612490307
476,zeven,53.3,9.2833,32.99,65,100,1.79,DE,1612490633
477,marzuq,14.4,46.4667,54.46,63,0,1.6,YE,1612490192
478,geraldton,-28.7667,114.6,78.78,29,100,10.8,AU,1612489946
479,magadan,59.5667,150.8,-2.29,83,78,6.74,RU,1612490593
480,voh,-20.9667,164.7,82.42,79,16,3.55,NC,1612490634
481,port hedland,-20.3167,118.5667,85.13,69,43,4.74,AU,1612490634
482,ambilobe,-13.2,49.05,73.58,93,85,0.85,MG,1612490179
483,missoula,47.0166,-113.8009,31.98,100,90,1.54,US,1612490402
484,mama,58.3106,112.8986,-0.73,86,100,0.71,RU,1612490635
485,tura,25.5198,90.2201,64.52,53,0,1.09,IN,1612490176
486,sehithwa,-20.4667,22.7167,69.65,90,100,2.12,BW,1612490224
487,cotofanesti,46.15,26.9833,37.38,87,40,3.09,RO,1612490635
488,yulin,22.6333,110.15,67.33,59,2,2.64,CN,1612490635
489,vigrestad,58.5667,5.7,15.98,57,0,3.09,NO,1612490635
490,mamallapuram,12.6264,80.1722,69.78,83,20,3.55,IN,1612490636
491,fos-sur-mer,43.4377,4.9446,49.98,87,0,2.06,FR,1612490636
492,kashi,39.4547,75.9797,28.38,59,0,4.0,CN,1612490174
493,bowen,-20.0167,148.2333,85.98,62,75,4.63,AU,1612490636
494,malanje,-9.5402,16.341,62.4,97,99,0.88,AO,1612490636
495,pavlysh,48.9176,33.3569,27.89,94,93,11.01,UA,1612490636
496,lucapa,-8.4192,20.7447,64.97,95,37,0.83,AO,1612490636
497,beaufort,5.3473,115.7455,82.38,78,20,1.03,MY,1612490425
498,port pirie,-33.1833,138.0167,73.38,40,90,9.77,AU,1612490637
499,dunedin,-45.8742,170.5036,55.97,69,84,10.73,NZ,1612489974
500,quesnel,52.9999,-122.5029,28.38,100,90,2.78,CA,1612490234
501,krasnoselkup,65.7,82.4667,-25.78,86,22,2.86,RU,1612490637
502,kahului,20.8947,-156.47,71.58,68,90,5.66,US,1612489904
503,grindavik,63.8424,-22.4338,37.38,87,75,12.86,IS,1612489923
504,pascagoula,30.3658,-88.5561,64.38,72,75,2.57,US,1612490637
505,nawada,24.8833,85.5333,48.18,87,0,2.06,IN,1612490638
506,rojhan,28.6868,69.9534,49.12,62,0,1.21,PK,1612490638
507,berberati,4.2612,15.7922,67.22,27,9,1.69,CF,1612490638
508,atasu,48.6814,71.6433,17.94,95,83,3.71,KZ,1612490216
509,peleduy,59.6289,112.7406,-10.99,88,99,0.33,RU,1612490638
510,kieta,-6.2167,155.6333,85.93,67,66,3.02,PG,1612490179
511,calgary,51.0501,-114.0853,21.97,86,90,7.2,CA,1612490401
512,srandakan,-7.9386,110.2506,79.03,83,98,0.78,ID,1612490639
513,udachnyy,66.4167,112.4,-40.02,78,8,1.57,RU,1612490480
514,mudhol,16.35,75.2833,63.86,60,15,3.39,IN,1612490639
515,concepcion,-36.827,-73.0498,58.98,94,90,4.12,CL,1612490639
516,pucallpa,-8.3791,-74.5539,76.98,94,75,1.03,PE,1612490639
517,shingu,33.7333,135.9833,48.18,43,40,5.14,JP,1612490193
518,santa maria,-29.6842,-53.8069,63.66,93,1,1.13,BR,1612490438
519,lake charles,30.2131,-93.2044,65.98,88,75,4.63,US,1612490554
520,ushumun,52.7833,126.5333,-13.85,87,99,1.22,RU,1612490639
521,kenai,60.5544,-151.2583,18.98,79,90,3.6,US,1612490172
522,galle,6.0367,80.217,75.72,87,45,3.07,LK,1612490640
523,khani,41.9563,42.9566,46.38,65,90,3.6,GE,1612490640
524,road town,18.4167,-64.6167,78.78,83,40,4.12,VG,1612490640
525,caceres,39.522,-6.3748,46.97,94,100,0.45,ES,1612490640
526,mao,39.8885,4.2658,49.98,100,0,3.09,ES,1612490221
527,mandera,3.9366,41.867,70.63,80,0,3.64,KE,1612490179
528,turayf,31.6725,38.6637,46.38,100,75,3.09,SA,1612490641
529,seydi,39.4816,62.9137,46.38,71,21,5.2,TM,1612490641
530,rocha,-34.4833,-54.3333,66.04,72,100,7.23,UY,1612490641
531,phan thiet,10.9333,108.1,79.84,59,16,2.3,VN,1612490641
532,zorya,45.9908,29.6967,34.99,83,0,7.05,UA,1612490641
533,tomatlan,19.9333,-105.25,67.04,78,0,0.92,MX,1612490641
534,hamadan,34.7992,48.5146,39.79,75,100,3.13,IR,1612490642
535,venice,27.0998,-82.4543,51.98,76,1,2.32,US,1612490642
536,guiyang,26.5833,106.7167,46.38,87,90,2.0,CN,1612490562
537,bulgan,48.8125,103.5347,15.4,87,31,3.42,MN,1612490215
538,amurzet,47.6967,131.0981,-5.05,83,98,1.25,RU,1612490642
539,kayerkan,69.3497,87.7602,-26.95,85,94,0.37,RU,1612490643
540,san francisco,37.7749,-122.4194,55.38,38,20,5.14,US,1612490479
541,macia,-25.0269,33.0989,74.35,95,99,0.97,MZ,1612490643
542,lagdo,9.05,13.7333,71.38,21,0,1.13,CM,1612490643
543,samarai,-10.6167,150.6667,83.93,71,36,1.82,PG,1612490159
544,cabatuan,10.8794,122.486,82.02,77,82,6.73,PH,1612490643
545,tokur,53.1333,132.9,-24.67,86,91,1.64,RU,1612490643
546,kondinskoye,59.6481,67.41,12.09,96,99,2.94,RU,1612490644
547,san rafael,-34.6177,-68.3301,75.36,26,0,3.07,AR,1612490538
548,porbandar,21.6422,69.6093,58.98,77,0,4.12,IN,1612490644
549,bajil,15.0584,43.2851,69.67,64,0,0.98,YE,1612490644
550,douentza,14.9951,-2.9517,70.18,20,30,2.3,ML,1612490644
